段号,start_time,end_time,条目数,最大值,最小值,均值,方差,标准差
1,2016-8-11 20:09:02,2016-8-11 20:30:45,1304,276.18600000000004,273.4945,274.327896088957,0.38095576221800104,0.6172161389805042
2,2016-8-12 17:45:48,2016-8-12 18:09:18,1411,273.99,272.999,273.52692345854007,0.06786057427909688,0.26050062241594907
3,2016-8-12 19:44:36,2016-8-12 20:25:00,2425,274.769,273.282,274.28144371134016,0.09091418628984838,0.301519794192435
4,2016-8-12 20:40:26,2016-8-12 21:09:32,1747,274.06100000000004,272.504,273.4654347452776,0.14320437030982985,0.3784235329757253
5,2016-8-13 00:53:32,2016-8-13 01:23:05,1774,274.06100000000004,271.442,273.51556341600906,0.2592112183393697,0.5091278997848868
6,2016-8-13 02:15:49,2016-8-13 02:43:40,1672,274.486,272.9285,273.9945484449761,0.16886120142187638,0.4109272458986826
7,2016-8-13 02:44:46,2016-8-13 03:36:55,3130,274.911,273.282,274.13690575079875,0.17226980079785276,0.41505397335509603
8,2016-8-13 03:36:57,2016-8-13 04:00:47,1431,274.84000000000003,273.565,274.0312610062893,0.05969275018472144,0.24432099824763617
9,2016-8-13 07:02:00,2016-8-13 07:27:48,1549,275.0525,273.778,274.398984506133,0.10397700105177432,0.322454649604831
10,2016-8-15 02:36:28,2016-8-15 03:38:43,3736,274.06100000000004,271.9375,273.6011161670236,0.10517511916560104,0.3243071370870537
11,2016-8-15 03:56:50,2016-8-15 05:06:14,4165,274.6275,272.9285,274.100650060024,0.1074613641240349,0.32781300176172834
12,2016-8-15 05:25:23,2016-8-15 06:12:26,2824,273.707,272.15,273.2411007436261,0.1022764325499261,0.3198068675778025
13,2016-8-15 06:17:51,2016-8-15 07:00:36,2566,273.9195,272.433,273.288447583788,0.07468299481482465,0.2732818962441981
14,2016-8-15 07:29:46,2016-8-15 08:05:36,2151,274.06100000000004,272.716,273.4115811250581,0.145553975857529,0.3815153677868416
15,2016-8-16 08:51:09,2016-8-16 09:29:05,2277,274.132,273.282,273.6606741326307,0.04593140540703694,0.21431613426673443
16,2016-8-16 10:02:15,2016-8-16 10:25:36,1402,274.9815,274.06100000000004,274.590387660485,0.035173026450053185,0.18754473186430268
17,2016-8-19 06:20:45,2016-8-19 06:41:46,1262,275.0525,273.2115,274.55747107765455,0.21580862386545085,0.46455206798102927
18,2016-8-19 14:03:26,2016-8-19 14:44:38,2473,275.76099999999997,274.557,275.0814391427416,0.09512053037661328,0.3084161642596141
19,2016-8-19 14:44:40,2016-8-19 15:34:55,3016,275.903,274.911,275.39059930371354,0.058215900666182166,0.2412797145766344
20,2016-8-20 14:15:04,2016-8-20 14:38:26,1403,275.69,274.698,275.26094689950105,0.03782059008132219,0.19447516571871637
21,2016-8-22 19:09:09,2016-8-22 19:47:05,2277,276.18600000000004,275.336,275.61143631971896,0.02626144058276005,0.16205382001902963
22,2016-8-22 20:03:58,2016-8-22 20:30:42,1605,275.548,274.982,275.1415367601246,0.013882354321167403,0.1178234031131651
23,2016-8-23 19:46:40,2016-8-23 20:17:24,1845,275.194,274.2025,274.611789701897,0.050372219579359626,0.22443756276381105
24,2016-8-23 20:22:33,2016-8-23 21:03:52,2480,275.194,274.344,274.8237199596774,0.04093332120290366,0.20231984876156778
25,2016-8-23 21:37:33,2016-8-23 22:00:40,1388,274.6985,273.849,274.2974211095101,0.0630860577588223,0.25116938061559635
26,2016-8-24 03:33:30,2016-8-24 03:59:03,1534,274.2025,272.858,273.62398631029987,0.1343949283839033,0.366599138547683
27,2016-8-29 09:51:57,2016-8-29 10:14:09,1333,274.344,273.07,273.80375881470366,0.09622839767937671,0.31020702390399985
28,2016-8-29 10:21:30,2016-8-29 11:10:32,2943,274.769,272.999,273.92282738702005,0.1396259834509191,0.37366560378354213
29,2016-8-29 15:07:20,2016-8-29 15:52:52,2733,274.6275,273.14099999999996,273.8914224295646,0.09947205492498915,0.31539190687934454
30,2016-8-29 15:52:54,2016-8-29 16:14:18,1285,274.769,273.99,274.17668171206225,0.026699402507968036,0.1633995180775269
31,2016-8-29 16:54:50,2016-8-29 17:38:00,2591,275.619,274.557,275.1658230412968,0.10263955738009313,0.3203740897452432
32,2016-8-29 18:25:08,2016-8-29 18:47:47,1360,273.9195,272.78700000000003,273.27646286764707,0.08901070962091037,0.2983466266290108
33,2016-8-29 18:54:16,2016-8-29 20:10:48,4593,274.132,272.575,273.304919769214,0.09057962264481065,0.30096448734827613
34,2016-8-29 22:23:41,2016-8-29 23:11:30,2870,273.2115,271.6545,272.1343442508711,0.13870616116421644,0.3724327605947367
35,2016-8-31 03:44:37,2016-8-31 04:09:29,1493,275.4065,272.008,273.0714199598125,0.8512407638640723,0.9226270990297609
